ds,y,yhat_0.5h,yhat_1h,yhat_3h,yhat_6h,yhat_10h
2021-09-25 11:30:00,10653.0,10397.1240234375,10245.248046875,9301.232421875,8528.0712890625,8429.5703125
2021-09-25 12:00:00,11494.1665,10414.267578125,10216.0966796875,10355.76171875,8743.615234375,8662.18359375
2021-09-25 12:30:00,9618.0,10949.2216796875,10251.7265625,9604.9765625,9065.41796875,8965.8271484375
2021-09-25 13:00:00,11102.333,9328.2392578125,10251.474609375,10137.25,8965.9091796875,8858.779296875
2021-09-25 13:30:00,5558.6665,10090.9365234375,8836.568359375,9440.09375,8758.7666015625,8553.84375
2021-09-25 14:00:00,2295.667,5829.05615234375,8997.37109375,7897.677734375,7728.443359375,7585.4423828125
2021-09-25 14:30:00,2576.333,2690.38330078125,5151.93798828125,7029.1650390625,6833.37890625,6548.76513671875
2021-09-25 15:00:00,1711.0,1952.340087890625,1979.448974609375,6028.88134765625,5886.052734375,5381.1083984375
2021-09-25 15:30:00,945.3335,791.4733276367188,899.2305908203125,4210.09130859375,4225.14404296875,4060.526123046875
2021-09-25 16:00:00,342.333,-155.27662658691406,-353.75146484375,3513.1494140625,3107.48193359375,2757.26416015625
2021-09-25 16:30:00,101.0,-428.79522705078125,-811.9459838867188,728.710693359375,1717.136474609375,1466.915283203125
2021-09-25 17:00:00,6.5,-656.9180908203125,-1048.416015625,-1401.4168701171875,498.0155029296875,527.6959228515625
2021-09-25 17:30:00,0.0,-599.0355834960938,-1087.7847900390625,-1871.2999267578125,-154.2753448486328,-170.89178466796875
2021-09-25 18:00:00,0.0,-469.9210205078125,-887.9859619140625,-2062.674560546875,-519.3490600585938,-611.3843383789062
2021-09-25 18:30:00,0.0,-333.3995056152344,-642.2828369140625,-1899.316650390625,-893.9249877929688,-907.030517578125
2021-09-25 19:00:00,0.0,-231.625244140625,-432.3782958984375,-1547.0264892578125,-786.40283203125,-998.1134033203125
2021-09-25 19:30:00,0.0,-43.01508331298828,-182.79525756835938,-1168.091064453125,-1201.757568359375,-857.793212890625
2021-09-25 20:00:00,0.0,-44.23187255859375,-60.36109161376953,-888.5182495117188,-1490.876708984375,-799.107177734375
